tp	kind	old_status	call	call_arity	old_arity	new_arity	test_path	cfg_test	same_crate	symbol	file	line	commit
False	param_type_changed	same_path	False	None	3	3	False	False	True	chat_completions	commonwealth/crates/commonwealth-api/src/routes_responses.rs	79	32ba1548acb5714991866783877add71eb18d414
True	param_type_changed	same_path	True	7	3	3	False	False	True	chat_completions	commonwealth/crates/commonwealth-api/src/frontdoor.rs	3307	32ba1548acb5714991866783877add71eb18d414
False	param_type_changed	same_path	True	4	3	3	False	True	True	chat_completions	commonwealth/crates/commonwealth-api/src/routes_inference.rs	2098	32ba1548acb5714991866783877add71eb18d414
True	param_type_changed	same_path	True	7	3	3	False	False	True	chat_completions	commonwealth/crates/commonwealth-api/src/frontdoor.rs	2787	32ba1548acb5714991866783877add71eb18d414
True	param_type_changed	same_path	True	4	3	3	False	False	True	chat_completions	commonwealth/crates/commonwealth-api/src/routes_responses.rs	262	32ba1548acb5714991866783877add71eb18d414
True	param_type_changed	same_path	True	5	3	3	False	False	True	chat_completions	commonwealth/crates/commonwealth-api/src/routes_ollama.rs	234	32ba1548acb5714991866783877add71eb18d414
False	param_type_changed	same_path	False	None	3	3	False	False	True	chat_completions	commonwealth/crates/commonwealth-api/src/frontdoor.rs	44	32ba1548acb5714991866783877add71eb18d414
True	new_function	absent	True	2	None	2	False	False	False	client_router_for	sovereign/crates/sovereign-mesh/src/daemon.rs	2961	3a9dd24e128a05ba668f08401565c894e8fc1ca3
True	new_function	absent	True	2	None	2	True	False	True	client_router_for	commonwealth/crates/commonwealth-api/tests/client_auth.rs	551	3a9dd24e128a05ba668f08401565c894e8fc1ca3
True	new_function	absent	True	2	None	2	False	False	False	client_router_for	sovereign/crates/sovereign-mesh/src/daemon.rs	2965	3a9dd24e128a05ba668f08401565c894e8fc1ca3
False	new_function	absent	False	None	None	2	True	False	False	client_router_for	sovereign/crates/sovereign-mesh/tests/guest_over_iroh_e2e.rs	20	3a9dd24e128a05ba668f08401565c894e8fc1ca3
True	new_function	absent	True	2	None	2	True	False	False	client_router_for	sovereign/crates/sovereign-mesh/tests/iroh_dialer_admission_e2e.rs	102	3a9dd24e128a05ba668f08401565c894e8fc1ca3
True	new_function	absent	True	2	None	2	True	False	False	client_router_for	sovereign/crates/sovereign-mesh/tests/guest_over_iroh_e2e.rs	57	3a9dd24e128a05ba668f08401565c894e8fc1ca3
True	new_function	absent	True	2	None	2	True	False	False	client_router_for	sovereign/crates/sovereign-mesh/tests/iroh_dialer_admission_e2e.rs	100	3a9dd24e128a05ba668f08401565c894e8fc1ca3
False	new_function	absent	True	2	None	2	False	False	True	client_router_for	commonwealth/crates/commonwealth-api/src/server.rs	46	3a9dd24e128a05ba668f08401565c894e8fc1ca3
False	new_function	absent	True	2	None	2	False	True	True	client_router_for	commonwealth/crates/commonwealth-api/src/server.rs	997	3a9dd24e128a05ba668f08401565c894e8fc1ca3
False	new_function	absent	True	2	None	2	False	True	True	client_router_for	commonwealth/crates/commonwealth-api/src/server.rs	1013	3a9dd24e128a05ba668f08401565c894e8fc1ca3
True	new_function	absent	True	2	None	2	True	False	False	client_router_for	sovereign/crates/sovereign-mesh/tests/iroh_dialer_admission_e2e.rs	321	3a9dd24e128a05ba668f08401565c894e8fc1ca3
False	new_function	absent	False	None	None	2	True	False	False	client_router_for	sovereign/crates/sovereign-mesh/tests/iroh_dialer_admission_e2e.rs	25	3a9dd24e128a05ba668f08401565c894e8fc1ca3
