probe	crate	shape	run	wall_s	exit	note
warm	-	check-full	1	32.8	0	
warm	-	build-ws	1	21.2	0	
sovereign/crates/sovereign-mesh/src/daemon.rs	sovereign-mesh	lint-scoped	0	15.5	0	
sovereign/crates/sovereign-mesh/src/daemon.rs	sovereign-mesh	lint-scoped	1	9.0	0	
sovereign/crates/sovereign-mesh/src/daemon.rs	sovereign-mesh	check-full	1	16.3	0	
sovereign/crates/sovereign-mesh/src/daemon.rs	sovereign-mesh	build-ws	1	16.0	0	
sovereign/crates/sovereign-mesh/src/daemon.rs	sovereign-mesh	test	0	200.2	0	
sovereign/crates/sovereign-mesh/src/daemon.rs	sovereign-mesh	test	1	14.6	0	
sovereign/crates/sovereign-core/src/deep_research/mod.rs	sovereign-core	lint-scoped	0	19.0	0	
sovereign/crates/sovereign-core/src/deep_research/mod.rs	sovereign-core	lint-scoped	1	17.5	0	
sovereign/crates/sovereign-core/src/deep_research/mod.rs	sovereign-core	check-full	1	18.7	0	
sovereign/crates/sovereign-core/src/deep_research/mod.rs	sovereign-core	build-ws	1	28.1	0	
sovereign/crates/sovereign-core/src/deep_research/mod.rs	sovereign-core	test	0	189.7	0	
sovereign/crates/sovereign-core/src/deep_research/mod.rs	sovereign-core	test	1	15.4	0	
corpus-engine/src/engine/mod.rs	corpus-engine	lint-scoped	0	146.9	0	
corpus-engine/src/engine/mod.rs	corpus-engine	lint-scoped	1	29.6	0	
corpus-engine/src/engine/mod.rs	corpus-engine	check-full	1	30.3	0	
corpus-engine/src/engine/mod.rs	corpus-engine	build-ws	1	41.6	0	
corpus-engine/src/engine/mod.rs	corpus-engine	test	0	137.7	0	
corpus-engine/src/engine/mod.rs	corpus-engine	test	1	11.8	0	
sovereign/crates/sovereign-cli-llm/src/lib.rs	sovereign-cli-llm	lint-scoped	0	89.2	0	
sovereign/crates/sovereign-cli-llm/src/lib.rs	sovereign-cli-llm	lint-scoped	1	7.7	0	
sovereign/crates/sovereign-cli-llm/src/lib.rs	sovereign-cli-llm	check-full	1	29.9	0	
sovereign/crates/sovereign-cli-llm/src/lib.rs	sovereign-cli-llm	build-ws	1	41.0	0	
sovereign/crates/sovereign-cli-llm/src/lib.rs	sovereign-cli-llm	test	0	227.5	0	
sovereign/crates/sovereign-cli-llm/src/lib.rs	sovereign-cli-llm	test	1	13.6	0	
sovereign/crates/sovereign-desktop/src-tauri/src/state.rs	sovereign-desktop	lint-scoped	0	0.1	1	
sovereign/crates/sovereign-desktop/src-tauri/src/state.rs	sovereign-desktop	lint-scoped	1	0.1	1	
sovereign/crates/sovereign-desktop/src-tauri/src/state.rs	sovereign-desktop	check-full	1	8.2	0	
sovereign/crates/sovereign-desktop/src-tauri/src/state.rs	sovereign-desktop	build-ws	1	12.4	0	
sovereign/crates/sovereign-desktop/src-tauri/src/state.rs	sovereign-desktop	test	0	42.6	0	
sovereign/crates/sovereign-desktop/src-tauri/src/state.rs	sovereign-desktop	test	1	5.0	0	
sovereign/crates/sovereign-tools/src/local_corpus/manager.rs	sovereign-tools	lint-scoped	0	21.6	0	
sovereign/crates/sovereign-tools/src/local_corpus/manager.rs	sovereign-tools	lint-scoped	1	12.7	0	
sovereign/crates/sovereign-tools/src/local_corpus/manager.rs	sovereign-tools	check-full	1	13.8	0	
sovereign/crates/sovereign-tools/src/local_corpus/manager.rs	sovereign-tools	build-ws	1	20.3	0	
sovereign/crates/sovereign-tools/src/local_corpus/manager.rs	sovereign-tools	test	0	170.5	0	
sovereign/crates/sovereign-tools/src/local_corpus/manager.rs	sovereign-tools	test	1	7.9	0	
sovereign/crates/sovereign-contracts/src/setup_config.rs	sovereign-contracts	lint-scoped	0	92.3	0	
sovereign/crates/sovereign-contracts/src/setup_config.rs	sovereign-contracts	lint-scoped	1	25.2	0	
sovereign/crates/sovereign-contracts/src/setup_config.rs	sovereign-contracts	check-full	1	27.0	0	
sovereign/crates/sovereign-contracts/src/setup_config.rs	sovereign-contracts	build-ws	1	36.5	0	
sovereign/crates/sovereign-contracts/src/setup_config.rs	sovereign-contracts	test	0	13.8	0	
sovereign/crates/sovereign-contracts/src/setup_config.rs	sovereign-contracts	test	1	4.0	0	
sovereign/crates/sovereign-cli-daemon/src/daemon_cmd/mod.rs	sovereign-cli-daemon	lint-scoped	0	75.5	0	
sovereign/crates/sovereign-cli-daemon/src/daemon_cmd/mod.rs	sovereign-cli-daemon	lint-scoped	1	4.8	0	
sovereign/crates/sovereign-cli-daemon/src/daemon_cmd/mod.rs	sovereign-cli-daemon	check-full	1	25.7	0	
sovereign/crates/sovereign-cli-daemon/src/daemon_cmd/mod.rs	sovereign-cli-daemon	build-ws	1	34.3	0	
sovereign/crates/sovereign-cli-daemon/src/daemon_cmd/mod.rs	sovereign-cli-daemon	test	0	73.7	0	
sovereign/crates/sovereign-cli-daemon/src/daemon_cmd/mod.rs	sovereign-cli-daemon	test	1	10.0	0	
sovereign/crates/sovereign-turn-client/src/lib.rs	sovereign-turn-client	lint-scoped	0	138.7	0	
sovereign/crates/sovereign-turn-client/src/lib.rs	sovereign-turn-client	lint-scoped	1	9.3	0	
sovereign/crates/sovereign-turn-client/src/lib.rs	sovereign-turn-client	check-full	1	10.2	0	
sovereign/crates/sovereign-turn-client/src/lib.rs	sovereign-turn-client	build-ws	1	13.4	0	
sovereign/crates/sovereign-turn-client/src/lib.rs	sovereign-turn-client	test	0	14.9	0	
sovereign/crates/sovereign-turn-client/src/lib.rs	sovereign-turn-client	test	1	2.0	0	
kernel-types/src/lib.rs	kernel-types	lint-scoped	0	31.8	0	
kernel-types/src/lib.rs	kernel-types	lint-scoped	1	20.2	0	
kernel-types/src/lib.rs	kernel-types	check-full	1	21.8	0	
kernel-types/src/lib.rs	kernel-types	build-ws	1	29.2	0	
kernel-types/src/lib.rs	kernel-types	test	0	3.7	0	
kernel-types/src/lib.rs	kernel-types	test	1	1.0	0	
sovereign/crates/sovereign-core/tests/main/f26_egress_census.rs	sovereign-core	test	0	22.1	0	
sovereign/crates/sovereign-core/tests/main/f26_egress_census.rs	sovereign-core	test	1	2.9	0	
