ts	pid	etime	vmrss_gib	anon_gib	file_gib	shm_gib	pgtbl_gib	gtt_gib	swap_gib	memavail_gib
14:17:22	1490162	00:54	9.39	8.48	0.91	0.00	0.04	20.48	2.58	87.81
14:17:42	1490162	01:14	7.92	7.01	0.91	0.00	0.04	20.53	2.58	87.09
14:18:02	1490162	01:34	7.82	6.91	0.91	0.00	0.04	20.53	2.58	85.98
14:18:22	1490162	01:54	7.83	6.92	0.91	0.00	0.04	20.53	2.58	83.21
14:18:42	1490162	02:14	7.99	7.08	0.91	0.00	0.04	20.56	2.58	82.21
14:19:02	1490162	02:34	8.00	7.08	0.91	0.00	0.04	20.56	2.58	82.04
14:19:22	1490162	02:54	22.27	21.36	0.92	0.00	0.06	20.41	2.58	67.44
14:19:42	1490162	03:14	22.70	21.79	0.92	0.00	0.07	20.41	2.58	66.62
14:20:02	1490162	03:34	22.79	21.88	0.92	0.00	0.07	20.41	2.58	66.26
14:20:22	1490162	03:55	22.56	21.65	0.92	0.00	0.07	20.41	2.58	65.99
14:20:42	1490162	04:15	22.94	22.03	0.92	0.00	0.07	20.41	2.58	65.28
14:21:02	1490162	04:35	22.86	21.95	0.92	0.00	0.07	20.41	2.58	65.01
14:21:22	1490162	04:55	22.73	21.82	0.92	0.00	0.07	20.41	2.58	64.69
14:21:42	1490162	05:15	23.05	22.13	0.92	0.00	0.07	20.41	2.58	63.94
14:22:02	1490162	05:35	23.04	22.12	0.92	0.00	0.07	20.41	2.58	63.09
14:22:23	1490162	05:55	23.96	23.05	0.92	0.00	0.07	20.41	2.58	76.05
14:22:43	1490162	06:15	24.20	23.28	0.92	0.00	0.07	20.41	2.58	76.04
14:23:03	1490162	06:35	24.30	23.38	0.92	0.00	0.07	20.41	2.58	76.00
14:23:23	1490162	06:55	24.08	23.16	0.92	0.00	0.07	20.41	2.58	76.19
14:23:43	1490162	07:15	24.45	23.54	0.92	0.00	0.07	20.41	2.58	75.82
14:24:03	1490162	07:35	24.13	23.21	0.92	0.00	0.07	20.41	2.58	76.16
14:24:23	1490162	07:55	23.87	22.95	0.92	0.00	0.07	20.41	2.58	76.41
14:24:43	1490162	08:15	24.07	23.16	0.92	0.00	0.07	20.41	2.58	76.21
14:25:03	1490162	08:35	23.92	23.01	0.92	0.00	0.07	20.41	2.58	76.38
14:25:23	1490162	08:55	24.21	23.29	0.92	0.00	0.07	20.41	2.58	76.04
14:25:43	1490162	09:15	24.17	23.25	0.92	0.00	0.07	20.41	2.58	76.14
14:26:03	1490162	09:35	23.92	23.01	0.92	0.00	0.07	20.41	2.58	76.39
14:26:23	1490162	09:55	24.15	23.24	0.92	0.00	0.07	20.70	2.58	75.85
14:26:43	1490162	10:16	24.15	23.24	0.92	0.00	0.07	20.70	2.58	75.86
14:27:03	1490162	10:36	23.92	23.01	0.92	0.00	0.07	20.70	2.57	76.10
14:27:23	1490162	10:56	24.17	23.25	0.92	0.00	0.07	20.70	2.57	75.83
14:27:43	1490162	11:16	24.18	23.27	0.92	0.00	0.07	20.70	2.57	75.78
14:28:03	1490162	11:36	23.92	23.01	0.92	0.00	0.07	20.70	2.57	76.06
14:28:23	1490162	11:56	24.30	23.38	0.92	0.00	0.07	20.70	2.57	75.67
14:28:44	1490162	12:16	24.28	23.36	0.92	0.00	0.07	20.82	2.57	75.59
14:29:04	1490162	12:36	24.04	23.12	0.92	0.00	0.07	20.82	2.57	75.82
14:29:24	1490162	12:56	24.29	23.37	0.92	0.00	0.07	20.82	2.57	75.57
14:29:44	1490162	13:16	31.68	29.82	1.87	0.00	0.14	50.70	2.63	39.13
14:30:04	1490162	13:36	31.68	29.82	1.87	0.00	0.14	51.17	2.65	38.23
14:30:24	1490162	13:56	31.69	29.82	1.87	0.00	0.14	51.17	2.65	38.23
14:30:44	1490162	14:16	31.91	30.04	1.87	0.00	0.14	51.17	2.65	37.77
14:31:04	1490162	14:36	31.91	30.04	1.87	0.00	0.14	51.17	2.65	37.76
14:31:24	1507876	00:17	3.21	2.42	0.79	0.00	0.03	20.32	2.65	96.44
14:31:44	1507876	00:37	7.99	7.08	0.91	0.00	0.04	20.52	2.65	90.96
14:32:04	1507876	00:57	9.52	8.61	0.91	0.00	0.04	20.55	2.65	86.45
14:32:24	1507876	01:17	7.86	6.95	0.91	0.00	0.04	20.59	2.65	86.01
14:32:44	1507876	01:37	7.87	6.96	0.91	0.00	0.04	20.59	2.65	84.84
14:33:04	1507876	01:57	7.87	6.96	0.91	0.00	0.04	20.59	2.65	82.25
14:33:24	1507876	02:17	8.20	7.29	0.91	0.00	0.04	20.62	2.65	81.33
14:33:44	1507876	02:37	8.20	7.29	0.91	0.00	0.04	20.62	2.65	80.85
14:34:04	1507876	02:57	27.03	26.12	0.92	0.00	0.07	20.47	2.65	62.68
14:34:24	1507876	03:17	27.52	26.60	0.92	0.00	0.07	20.47	2.65	61.92
14:34:44	1507876	03:37	27.14	26.22	0.92	0.00	0.07	20.47	2.65	61.58
14:35:04	1507876	03:57	27.63	26.71	0.92	0.00	0.08	20.47	2.65	61.09
14:35:24	1507876	04:17	27.32	26.40	0.92	0.00	0.07	20.66	2.65	60.88
14:35:45	1507876	04:37	27.83	26.92	0.92	0.00	0.08	20.66	2.65	60.06
14:36:05	1507876	04:58	27.50	26.59	0.92	0.00	0.08	20.70	2.65	60.03
14:36:25	1507876	05:18	27.90	26.98	0.92	0.00	0.08	20.69	2.64	59.27
14:36:45	1507876	05:38	27.62	26.71	0.92	0.00	0.08	20.69	2.64	58.65
14:37:05	1507876	05:58	28.98	28.06	0.92	0.00	0.08	20.69	2.65	70.77
14:37:25	1507876	06:18	28.83	27.91	0.92	0.00	0.08	20.69	2.65	71.14
14:37:45	1507876	06:38	29.15	28.23	0.92	0.00	0.08	20.69	2.65	70.96
14:38:05	1507876	06:58	28.84	27.92	0.92	0.00	0.08	20.69	2.65	71.27
14:38:25	1507876	07:18	29.30	28.38	0.92	0.00	0.08	20.69	2.65	70.81
14:38:45	1507876	07:38	28.68	27.76	0.92	0.00	0.08	20.69	2.65	71.43
14:39:05	1507876	07:58	29.02	28.10	0.92	0.00	0.08	20.69	2.61	71.05
14:39:25	1507876	08:18	28.68	27.76	0.92	0.00	0.08	20.69	2.61	71.42
14:39:45	1507876	08:38	28.68	27.76	0.92	0.00	0.08	20.69	2.61	71.38
14:40:05	1507876	08:58	29.02	28.10	0.92	0.00	0.08	20.69	2.61	71.04
14:40:25	1507876	09:18	28.68	27.76	0.92	0.00	0.08	20.69	2.61	71.39
14:40:45	1507876	09:38	29.01	28.09	0.92	0.00	0.08	20.69	2.61	71.05
14:41:05	1507876	09:58	28.68	27.76	0.92	0.00	0.08	20.69	2.61	71.40
14:41:25	1507876	10:18	29.06	28.14	0.92	0.00	0.08	20.69	2.61	70.99
14:41:46	1507876	10:38	28.68	27.76	0.92	0.00	0.08	20.69	2.61	71.38
14:42:06	1507876	10:59	29.01	28.09	0.92	0.00	0.08	20.69	2.61	71.04
14:42:26	1507876	11:19	28.68	27.76	0.92	0.00	0.08	20.69	2.61	71.39
14:42:46	1507876	11:39	28.68	27.76	0.92	0.00	0.08	20.69	2.60	71.37
14:43:06	1507876	11:59	29.00	28.08	0.92	0.00	0.08	20.69	2.60	71.06
14:43:26	1507876	12:19	28.68	27.76	0.92	0.00	0.08	20.69	2.60	71.39
14:43:46	1507876	12:39	29.01	28.10	0.92	0.00	0.08	20.69	2.60	71.04
14:44:06	1507876	12:59	28.68	27.76	0.92	0.00	0.08	20.69	2.60	71.39
14:44:26	1507876	13:19	29.03	28.11	0.92	0.00	0.08	20.69	2.60	71.03
14:44:46	1507876	13:39	28.68	27.76	0.92	0.00	0.08	20.69	2.60	71.38
14:45:06	1507876	13:59	28.68	27.76	0.92	0.00	0.08	20.69	2.60	71.38
14:45:26	1507876	14:19	29.01	28.09	0.92	0.00	0.08	20.69	2.60	71.06
14:45:46	1507876	14:39	28.68	27.76	0.92	0.00	0.08	20.69	2.60	71.39
14:46:06	1507876	14:59	29.02	28.10	0.92	0.00	0.08	20.69	2.60	71.05
14:46:26	1507876	15:19	52.82	27.76	25.06	0.00	0.16	43.85	2.66	47.47
14:46:46	1507876	15:39	36.42	34.55	1.87	0.00	0.15	51.07	2.69	33.34
14:47:06	1507876	15:59	36.42	34.55	1.87	0.00	0.15	51.07	2.69	33.33
