ts	pid	etime	vmrss_gib	anon_gib	file_gib	shm_gib	pgtbl_gib	gtt_gib	swap_gib	memavail_gib
18:57:22	1890284	00:43	8.52	7.60	0.92	0.00	0.04	20.78	2.35	90.91
18:57:42	1890284	01:03	9.98	9.06	0.92	0.00	0.04	20.97	2.35	85.48
18:58:02	1890284	01:23	7.84	6.92	0.92	0.00	0.04	21.04	2.35	85.82
18:58:22	1890284	01:43	7.85	6.93	0.92	0.00	0.04	21.04	2.35	84.11
18:58:42	1890284	02:03	7.85	6.93	0.92	0.00	0.04	21.04	2.35	82.29
18:59:02	1890284	02:23	8.19	7.26	0.92	0.00	0.04	21.07	2.35	81.45
18:59:22	1890284	02:43	8.19	7.27	0.92	0.00	0.04	21.06	2.35	81.02
18:59:42	1890284	03:03	8.19	7.27	0.92	0.00	0.04	21.06	2.35	80.54
19:00:02	1890284	03:23	8.36	7.43	0.93	0.00	0.04	21.07	2.35	79.59
19:00:22	1890284	03:43	8.36	7.43	0.93	0.00	0.04	21.07	2.35	79.31
19:00:43	1890284	04:03	8.43	7.51	0.93	0.00	0.04	21.07	2.35	78.78
19:01:03	1890284	04:23	8.43	7.51	0.93	0.00	0.04	21.07	2.35	78.34
19:01:23	1890284	04:43	8.51	7.58	0.93	0.00	0.04	21.07	2.35	77.76
19:01:43	1890284	05:03	9.04	8.11	0.93	0.00	0.04	21.07	2.35	90.14
19:02:03	1890284	05:23	9.69	8.77	0.93	0.00	0.04	21.07	2.35	89.59
19:02:23	1890284	05:43	9.72	8.79	0.93	0.00	0.04	21.07	2.35	89.75
19:02:43	1890284	06:03	9.83	8.90	0.93	0.00	0.04	21.07	2.35	89.67
19:03:03	1890284	06:23	9.98	9.05	0.93	0.00	0.04	21.07	2.35	89.52
19:03:23	1890284	06:44	9.60	8.68	0.93	0.00	0.04	21.07	2.35	89.92
19:03:43	1890284	07:04	9.62	8.70	0.93	0.00	0.04	21.07	2.35	89.89
19:04:03	1890284	07:24	9.62	8.70	0.93	0.00	0.04	21.07	2.35	89.87
19:04:23	1890284	07:44	9.63	8.70	0.93	0.00	0.04	21.07	2.35	89.88
19:04:43	1890284	08:04	9.63	8.70	0.93	0.00	0.04	21.07	2.35	89.88
19:05:03	1890284	08:24	10.57	8.68	1.89	0.00	0.10	52.27	2.39	58.73
19:05:23	1890284	08:44	10.70	8.81	1.89	0.00	0.10	52.27	2.39	58.66
19:05:43	1890284	09:04	10.70	8.81	1.89	0.00	0.10	52.27	2.39	58.63
19:06:03	1890284	09:24	10.56	8.66	1.89	0.00	0.10	52.27	2.39	58.77
19:06:23	1890284	09:44	10.69	8.79	1.89	0.00	0.10	52.27	2.39	58.68
19:06:43	1890284	10:04	10.56	8.67	1.89	0.00	0.10	52.27	2.39	58.95
19:07:04	1890284	10:24	10.56	8.67	1.89	0.00	0.10	52.27	2.39	58.94
19:07:24	1890284	10:44	10.56	8.67	1.89	0.00	0.10	52.27	2.39	58.94
19:07:44	1890284	11:04	10.56	8.67	1.89	0.00	0.10	52.27	2.39	58.94
19:08:04	1890284	11:24	10.33	8.43	1.89	0.00	0.10	52.27	2.39	59.17
19:08:24	1890284	11:44	10.33	8.43	1.89	0.00	0.10	52.27	2.39	59.21
19:08:44	1890284	12:04	10.33	8.43	1.89	0.00	0.10	52.27	2.39	59.21
19:09:04	1890284	12:24	9.63	7.74	1.89	0.00	0.10	64.98	3.17	46.40
19:09:24	1890284	12:45	8.61	6.72	1.89	0.00	0.10	68.02	4.19	42.16
19:09:44	1890284	13:05	9.15	7.25	1.89	0.00	0.10	68.02	4.81	40.60
19:10:04	1907863	01:15	8.11	7.19	0.92	0.00	0.04	20.81	2.50	91.74
19:10:24	1907863	01:35	9.61	8.69	0.92	0.00	0.04	20.90	2.50	86.48
19:10:44	1907863	01:55	7.78	6.86	0.92	0.00	0.04	20.87	2.50	86.17
19:11:04	1907863	02:15	7.78	6.86	0.92	0.00	0.04	20.87	2.50	82.37
19:11:24	1907863	02:35	8.19	7.27	0.92	0.00	0.04	20.87	2.50	80.49
19:11:44	1907863	02:55	8.20	7.27	0.92	0.00	0.04	20.87	2.50	80.61
19:12:04	1907863	03:15	8.20	7.27	0.92	0.00	0.04	20.87	2.50	80.05
19:12:24	1907863	03:35	8.20	7.27	0.92	0.00	0.04	20.87	2.50	79.85
19:12:44	1907863	03:55	8.05	7.13	0.92	0.00	0.04	20.87	2.50	78.54
19:13:04	1907863	04:15	8.05	7.13	0.92	0.00	0.04	20.87	2.50	79.49
19:13:24	1907863	04:35	8.05	7.13	0.92	0.00	0.04	20.87	2.50	78.97
19:13:44	1907863	04:55	8.05	7.13	0.92	0.00	0.04	20.87	2.50	76.90
19:14:05	1907863	05:15	9.22	8.30	0.92	0.00	0.04	20.87	2.50	88.77
19:14:25	1907863	05:35	9.22	8.30	0.92	0.00	0.04	20.87	2.50	87.63
19:14:45	1907863	05:55	9.35	8.43	0.92	0.00	0.04	20.87	2.50	89.17
19:15:05	1907863	06:15	9.29	8.36	0.92	0.00	0.04	20.87	2.50	80.47
19:15:25	1907863	06:36	9.22	8.30	0.92	0.00	0.04	20.87	2.62	83.61
19:15:45	1907863	06:56	8.69	8.31	0.38	0.00	0.04	20.87	2.71	77.03
19:16:05	1907863	07:16	8.69	8.31	0.38	0.00	0.04	20.87	2.73	87.35
19:16:25	1907863	07:36	8.69	8.31	0.38	0.00	0.04	20.87	2.73	89.21
19:16:45	1907863	07:56	8.69	8.31	0.38	0.00	0.04	20.87	2.73	88.09
19:17:05	1907863	08:16	8.69	8.31	0.38	0.00	0.04	20.87	2.73	89.69
19:17:25	1907863	08:36	8.69	8.31	0.38	0.00	0.04	20.87	2.73	90.42
19:17:45	1907863	08:56	8.69	8.31	0.38	0.00	0.04	21.55	2.73	88.03
