task,round,rank,url,noise_class,queue,recorded,replayed_outcome,spend,health,content_verdict,coverage,prose_line,reason,gold
56,1,2,https://www.cirje.e.u-tokyo.ac.jp/research/workshops/micro/documents/March20.pdf,,1,failed,fetch-failed,1,binary,n/a,0.0000,0,fetch https://www.cirje.e.u-tokyo.ac.jp/research/workshops/micro/documents/March20.pdf: Execution error: fetch https://www.cirje.e.u-tokyo.ac.jp/research/workshops/micro/documents/March20.pdf: non-text payload (application/pdf) — binary content refused (would poison the evidence window),false
56,1,1,https://capcp.la.psu.edu/wp-content/uploads/sites/11/2020/07/NumericalSolutions.pdf,,2,failed,fetch-failed,1,binary,n/a,0.0000,0,fetch https://capcp.la.psu.edu/wp-content/uploads/sites/11/2020/07/NumericalSolutions.pdf: Execution error: fetch https://capcp.la.psu.edu/wp-content/uploads/sites/11/2020/07/NumericalSolutions.pdf: non-text payload (application/pdf) — binary content refused (would poison the evidence window),false
56,1,3,https://economics.yale.edu/sites/default/files/symmetric_0.pdf,,3,failed,fetch-failed,1,binary,n/a,0.0000,0,fetch https://economics.yale.edu/sites/default/files/symmetric_0.pdf: Execution error: fetch https://economics.yale.edu/sites/default/files/symmetric_0.pdf: non-text payload (application/pdf) — binary content refused (would poison the evidence window),false
56,1,15,https://www.jstor.org/stable/2648842,,4,never-fetched,fetched-content-unknown,1,ok,content-unknown,0.0000,0,no recorded content,false
56,1,23,https://www.jstor.org/stable/2648842,,5,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
56,1,8,https://kasberger.github.io/assets/pdf/fpa_robust.pdf,,6,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,true
56,1,9,https://www.researchgate.net/publication/228319685_Linear_Bid_in_Asymmetric_First-Price_Auctions,,7,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,true
56,1,17,http://digital.csic.es/bitstream/10261/1848/1/57803.pdf,,8,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
56,1,22,https://www.researchgate.net/publication/228319685_Linear_Bid_in_Asymmetric_First-Price_Auctions,,9,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,true
56,1,4,https://www.uoguelph.ca/economics/repec/workingpapers/2015/2015-02.pdf,,10,failed,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
56,1,7,https://brocku.ca/repec/pdf/0504.pdf,,11,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,true
56,1,14,https://capcp.la.psu.edu/wp-content/uploads/sites/11/numericalanalysis.pdf,,12,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
56,1,21,https://capcp.la.psu.edu/wp-content/uploads/sites/11/numericalanalysis.pdf,,13,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
56,1,12,https://www.cirje.e.u-tokyo.ac.jp/research/workshops/micro/documents/March20.pdf,,14,dead-refused,dead-refused,0,dead,n/a,0.0000,0,,false
56,1,18,https://www.cirje.e.u-tokyo.ac.jp/research/workshops/micro/documents/March20.pdf,,15,dead-refused,dead-refused,0,dead,n/a,0.0000,0,,false
56,1,10,https://www.sciencedirect.com/science/article/abs/pii/S0165176511002473,,16,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,true
56,1,6,https://python.quantecon.org/two_auctions.html,,17,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
56,1,11,https://www.uoguelph.ca/economics/repec/workingpapers/2015/2015-02.pdf,,18,failed,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
