t_s	gtt_used_gib	majflt	minflt	rss_gib
0.0	2.06	0	458	0.02
1.0	10.28	0	34887	0.15
2.0	31.32	0	34887	0.15
3.0	53.19	0	34887	0.15
4.0	73.86	0	34887	0.15
5.1	78.32	0	594024	2.29
6.1	78.29	0	1542248	5.90
7.1	78.29	0	2568295	9.82
8.1	78.29	0	3621028	13.84
9.1	78.29	0	4599923	17.57
10.1	78.29	0	5494183	20.98
11.1	78.29	0	6488168	24.78
12.1	78.29	0	7231264	27.60
13.1	78.29	0	7231509	27.60
14.1	78.29	0	7231760	27.60
15.2	78.29	0	7232037	27.60
16.2	78.29	0	7232268	27.60
17.2	78.29	0	7232521	27.61
18.2	78.29	0	7232869	27.61
19.2	78.29	0	7233017	27.61
20.2	78.29	0	7233268	27.61
21.2	78.29	0	7233513	27.61
22.2	78.29	0	7233764	27.61
23.2	78.29	0	7234009	27.61
24.3	78.29	0	7234259	27.61
25.3	78.29	0	7234549	27.61
26.3	78.29	0	7234760	27.61
27.3	79.05	0	7239409	27.62
28.3	79.05	0	7239416	27.62
29.3	79.05	0	7239416	27.62
30.3	79.05	0	7239416	27.62
31.3	79.05	0	7239416	27.62
32.3	79.05	0	7239416	27.62
33.3	78.29	0	7239416	17.13
