t_s	gtt_used_gib	majflt	minflt	rss_gib
0.0	2.11	2	336	0.01
1.0	8.57	70	34851	0.15
2.0	29.85	70	34851	0.15
3.0	51.72	70	34851	0.15
4.0	73.29	70	34851	0.15
5.1	78.97	70	532744	2.06
6.1	78.92	70	1383281	5.30
7.1	78.92	70	2421806	9.26
8.1	78.92	70	3419962	13.07
9.1	78.92	70	4431918	16.93
10.1	78.92	70	5329191	20.35
11.1	78.92	70	6329388	24.17
12.1	78.93	70	7066320	26.97
13.1	78.93	70	7066567	26.97
14.1	78.93	70	7066818	26.97
15.2	78.93	70	7067100	26.97
16.2	78.93	70	7067328	26.98
17.2	78.93	70	7067585	26.98
18.2	78.93	70	7067932	26.98
19.2	78.93	70	7068085	26.98
20.2	78.93	70	7068339	26.98
21.2	78.93	70	7068587	26.98
22.2	78.93	70	7068839	26.98
23.2	78.93	70	7069088	26.98
24.2	78.93	70	7069593	26.98
25.3	78.93	70	7069613	26.98
26.3	78.93	70	7069841	26.99
27.3	79.68	70	7084778	26.99
28.3	79.68	70	7084785	26.99
29.3	79.68	70	7084785	26.99
30.3	79.68	70	7084785	26.99
31.3	79.68	70	7084785	26.99
32.3	79.68	70	7084785	26.99
33.3	78.92	70	7084785	21.41
