t_s	gtt_used_gib	majflt	minflt	rss_gib
0.0	2.06	0	500	0.02
1.0	10.26	30	34889	0.15
2.0	31.31	30	34889	0.15
3.0	53.17	30	34889	0.15
4.0	74.80	30	34889	0.15
5.1	78.93	30	609418	2.35
6.1	78.92	30	1487956	5.70
7.1	78.92	30	2534484	9.69
8.1	78.92	30	3590228	13.72
9.1	78.92	30	4537808	17.34
10.1	78.92	30	5458927	20.85
11.1	78.92	30	6468692	24.70
12.1	78.93	30	7066400	26.97
13.1	78.93	30	7066649	26.97
14.1	78.93	30	7066904	26.97
15.2	78.93	30	7067156	26.97
16.2	78.93	30	7067417	26.98
17.2	78.93	30	7067671	26.98
18.2	78.93	30	7067977	26.98
19.2	78.93	30	7068171	26.98
20.2	78.93	30	7068424	26.98
21.2	78.93	30	7068674	26.98
22.2	78.93	30	7068926	26.98
23.2	78.93	30	7069171	26.98
24.2	78.93	30	7069638	26.98
25.3	78.93	30	7069671	26.98
26.3	78.93	30	7069925	26.98
27.3	79.68	30	7084837	26.99
28.3	79.68	30	7084837	26.99
29.3	79.68	30	7084837	26.99
30.3	79.68	30	7084837	26.99
31.3	79.68	30	7084837	26.99
32.3	79.68	30	7084837	26.99
33.3	78.92	30	7084837	10.56
