t_s	gtt_used_gib	majflt	minflt	rss_gib
0.0	1.99	3	153	0.01
1.0	9.37	70	34837	0.15
2.0	31.25	70	34837	0.15
3.0	52.15	70	34837	0.15
4.0	70.10	70	34837	0.15
5.1	78.87	70	196778	0.77
6.1	78.86	70	1017969	3.90
7.1	78.86	70	1994785	7.64
8.1	78.86	70	3053601	11.67
9.1	78.86	70	3945505	15.07
10.1	78.86	70	4926972	18.81
11.1	78.86	70	5821469	22.23
12.1	78.86	70	6792221	25.93
13.1	78.87	81	7066426	26.97
14.1	78.87	81	7066679	26.97
15.2	78.87	81	7066930	26.97
16.2	78.87	81	7067186	26.97
17.2	78.87	81	7067443	26.97
18.2	78.87	81	7067698	26.97
19.2	78.87	81	7067949	26.98
20.2	78.87	81	7068197	26.98
21.2	78.87	81	7068452	26.98
22.2	78.87	81	7068698	26.98
23.2	78.87	81	7068951	26.98
24.2	78.87	81	7069198	26.98
25.3	78.87	81	7069589	26.98
26.3	78.87	81	7069707	26.98
27.3	78.86	81	7076392	26.98
28.3	79.62	90	7084768	26.98
29.3	79.62	90	7084768	26.98
30.3	79.62	90	7084768	26.98
31.3	79.62	90	7084768	26.98
32.3	79.62	90	7084768	26.98
33.3	79.62	90	7084768	26.98
34.4	2.01	90	7084768	0.16
