t_s	gtt_used_gib	majflt	minflt	rss_gib
0.0	2.00	3	167	0.01
1.0	7.22	85	34846	0.15
2.0	17.35	85	34846	0.15
3.0	28.74	85	34846	0.15
4.0	45.73	85	34846	0.14
5.1	60.84	85	34846	0.14
6.1	78.86	87	34861	0.14
7.1	78.86	87	989018	3.79
8.1	78.86	87	1897358	7.25
9.1	78.86	87	2839275	10.84
10.1	78.86	87	3809374	14.54
11.1	78.86	87	4744618	18.11
12.1	78.86	87	5657402	21.59
13.1	78.86	87	6579686	25.11
14.2	78.87	101	7066370	26.96
15.2	78.87	101	7066612	26.96
16.2	78.87	101	7066860	26.96
17.2	78.87	101	7067111	26.96
18.2	78.87	101	7067362	26.96
19.2	78.87	101	7067615	26.97
20.2	78.87	101	7067926	26.97
21.2	78.87	101	7068098	26.97
22.2	78.87	101	7068343	26.97
23.2	78.87	101	7068592	26.97
24.3	78.87	101	7068838	26.97
25.3	78.87	101	7069085	26.97
26.3	78.87	101	7069328	26.97
27.3	78.87	101	7069607	26.97
28.3	78.87	101	7069828	26.97
29.3	79.63	139	7085354	27.00
30.3	79.63	140	7086433	27.00
31.3	79.63	140	7086433	27.00
32.3	79.63	140	7086433	27.00
33.3	79.63	140	7086433	27.00
34.4	79.63	140	7086433	27.00
35.4	79.63	140	7086433	27.00
36.4	69.13	140	7086433	0.18
