t_s	gtt_used_gib	majflt	minflt	rss_gib
0.0	2.06	0	511	0.02
1.0	9.81	0	34896	0.15
2.0	31.43	0	34896	0.15
3.0	53.30	0	34896	0.15
4.0	75.13	0	34906	0.15
5.1	78.94	0	598841	2.30
6.1	78.92	0	1538135	5.89
7.1	78.92	0	2548714	9.75
8.1	78.92	0	3572444	13.65
9.1	78.92	0	4572492	17.47
10.1	78.92	0	5454521	20.83
11.1	78.92	0	6444233	24.61
12.1	78.93	0	7066396	26.97
13.1	78.93	0	7066649	26.97
14.1	78.93	0	7066910	26.97
15.2	78.93	0	7067154	26.97
16.2	78.93	0	7067406	26.98
17.2	78.93	0	7067648	26.98
18.2	78.93	0	7067982	26.98
19.2	78.93	0	7068146	26.98
20.2	78.93	0	7068402	26.98
21.2	78.93	0	7068644	26.98
22.2	78.93	0	7068900	26.98
23.2	78.93	0	7069146	26.98
24.2	78.92	0	7109399	26.98
25.3	78.92	0	7179439	26.98
26.3	78.92	0	7256056	26.98
27.3	78.92	0	7326756	26.98
28.3	80.17	188	7336504	26.99
29.3	80.17	188	7336506	26.99
30.3	78.92	188	7336506	16.86
