ts	gtt_mib	avail_mib
09:12:44	4003	118515
09:12:46	40866	81449
09:12:48	82704	39843
09:12:50	82704	33286
09:12:52	82704	27510
09:12:54	82704	21767
09:12:56	82704	15710
09:12:58	82708	12582
09:13:00	82708	12537
09:13:02	82708	12494
09:13:04	82708	12538
09:13:06	82708	12524
09:13:08	82708	12556
09:13:10	82708	12538
09:13:12	82708	12505
09:13:14	82708	12561
09:13:16	82708	12563
09:13:18	83238	11826
09:13:20	83238	11792
09:13:22	83238	11793
09:13:24	83768	11784
09:13:26	83768	11780
09:13:28	83768	11767
09:13:30	83768	11762
09:13:33	83768	11753
09:13:35	85303	11083
09:13:37	85303	10882
09:13:39	83675	12879
09:13:41	83870	11330
09:13:43	83870	11301
09:13:45	83870	11296
09:13:47	83870	11291
09:13:49	83870	11294
09:13:51	83870	11297
09:13:53	83870	11291
09:13:55	83870	11303
09:13:57	83870	11300
09:13:59	83870	11289
09:14:01	83870	11292
09:14:03	83870	11277
09:14:05	83918	11724
09:14:07	83918	11701
09:14:09	83918	11682
09:14:11	84134	11457
09:14:13	84134	11440
09:14:15	84134	11428
09:14:17	84134	11402
09:14:19	84134	11406
09:14:21	84134	11406
09:14:23	84132	11401
09:14:25	84132	11414
09:14:27	84132	11416
09:14:29	84132	11411
09:14:31	84132	11410
09:14:33	84132	11406
09:14:35	84132	11402
09:14:37	84132	11407
09:14:39	84132	11407
09:14:41	84132	11407
09:14:43	84131	11405
09:14:45	84131	11400
09:14:47	84131	11390
09:14:49	84131	11393
09:14:51	84131	11374
09:14:53	85612	9713
09:14:55	84083	11538
09:14:57	84083	11532
09:14:59	84083	11529
09:15:01	84299	11301
09:15:03	84299	11298
09:15:05	84299	11295
09:15:07	84499	11002
09:15:09	84499	11001
09:15:11	84499	10994
09:15:13	84704	10890
09:15:15	84704	10892
09:15:17	84704	10887
09:15:19	84704	10883
09:15:21	84704	10874
09:15:23	84704	10874
09:15:25	84704	10864
09:15:27	84704	10865
09:15:29	84704	10865
09:15:31	84704	10764
09:15:33	84704	10714
09:15:35	84704	10702
09:15:37	84704	10702
09:15:39	84704	10705
09:15:41	84704	10714
09:15:43	84704	10721
09:15:45	84704	10729
09:15:47	84704	10731
09:15:49	84704	10734
09:15:51	84704	10736
09:15:53	84704	10737
09:15:55	84704	10738
09:15:58	84704	10737
09:16:00	84704	10737
09:16:02	84704	10738
09:16:04	84704	10733
09:16:06	84704	10734
09:16:08	84704	10736
09:16:10	84704	10725
09:16:12	84704	10725
09:16:14	84704	10725
09:16:16	84704	10721
09:16:18	84704	10716
09:16:20	84704	10720
09:16:22	84704	10706
09:16:24	84704	10705
09:16:26	84704	10706
09:16:28	84704	10712
09:16:30	84704	10715
09:16:32	84704	10714
09:16:34	84704	10713
09:16:36	84347	11208
09:16:38	84347	11204
09:16:40	84347	11200
09:16:42	84563	10994
09:16:44	84563	10988
09:16:46	84563	10985
09:16:48	84763	10780
09:16:50	84763	10778
09:16:52	84763	10772
09:16:54	84968	10588
09:16:56	84968	10577
09:16:58	84968	10537
09:17:00	85169	10386
09:17:02	85169	10373
09:17:04	85169	10368
09:17:06	85169	10368
09:17:08	85477	10074
09:17:10	85477	10071
09:17:12	85477	10063
09:17:14	85477	10063
09:17:16	85793	9745
09:17:18	85793	9740
09:17:20	85793	9731
09:17:22	85793	9718
09:17:24	86073	9457
09:17:26	86073	9453
09:17:28	86073	9443
09:17:30	86073	9441
09:17:32	86073	9432
09:17:34	86073	9429
09:17:36	86073	9424
09:17:38	86073	9423
09:17:40	86073	9426
09:17:42	86073	9413
09:17:44	86073	9408
09:17:46	86073	9409
09:17:48	86073	9400
09:17:50	86073	9399
09:17:52	86073	9402
09:17:54	86073	9403
09:17:56	86073	9407
09:17:58	86073	9405
09:18:00	86073	9405
09:18:02	86073	9400
09:18:04	86073	9397
09:18:06	86073	9401
09:18:08	86073	9401
09:18:10	86073	9400
09:18:12	86073	9400
09:18:14	86073	9398
09:18:16	86073	9396
09:18:18	86073	9396
09:18:20	86073	9383
09:18:22	86073	9387
09:18:24	86073	9383
09:18:26	86073	9361
09:18:28	86073	9359
09:18:30	86073	9361
09:18:32	86073	9363
09:18:34	86073	9362
09:18:36	86073	9365
09:18:38	86073	9365
09:18:40	86073	9358
09:18:42	86073	9379
09:18:44	86073	9379
09:18:46	86073	9379
09:18:48	86073	9374
09:18:50	86073	9374
09:18:52	86073	9373
09:18:54	86073	9370
09:18:56	86073	9368
09:18:58	86073	9369
09:19:00	86073	9370
09:19:02	86073	9361
09:19:04	86073	9366
09:19:06	86073	9369
09:19:08	86073	9369
09:19:10	86073	9366
09:19:12	86073	9365
09:19:14	86073	9351
09:19:16	86073	9355
09:19:18	86073	9353
09:19:20	86073	9354
09:19:22	86073	9353
09:19:24	86073	9355
09:19:26	86073	9356
09:19:28	86073	9355
09:19:30	86073	9357
09:19:32	86073	9360
09:19:34	86073	9353
09:19:36	86073	9338
09:19:38	86073	9341
09:19:41	86073	9341
09:19:43	86073	9341
09:19:45	86073	9345
09:19:47	86073	9348
09:19:49	86073	9349
09:19:51	86073	9352
09:19:53	86073	9353
09:19:55	86073	9352
09:19:57	86073	9353
09:19:59	86072	9351
09:20:01	86072	9348
09:20:03	86072	9348
09:20:05	86072	9351
09:20:07	86072	9352
09:20:09	86072	9353
09:20:11	82850	12597
09:20:13	82850	12596
09:20:15	82850	12596
09:20:17	82850	12596
09:20:19	82850	12594
09:20:21	82850	12593
09:20:23	82850	12589
09:20:25	82850	12392
09:20:27	82850	12392
09:20:29	82702	32527
