t	avail_mib	gtt_mib	rss_mib
0	116738	4341	54
2	82363	38037	152
4	59919	60434	152
6	42979	77232	152
8	33818	83041	3839
10	27920	83041	9409
12	23448	83041	14564
14	18249	83041	19798
16	14117	83040	24084
18	10600	83045	27619
20	10438	83045	27621
22	10389	83045	27622
24	10622	83045	27624
26	10626	83045	27626
28	10667	83045	27627
30	10599	83045	27629
32	10616	83045	27630
34	10620	83045	27632
36	9936	83793	27627
38	9890	83808	27631
40	9921	83818	27631
42	9901	83818	27634
44	9366	83774	27635
46	33486	83041	4113
