ts	avail_mib	gtt_mib	daemon_anon_mib	daemon_file_mib	eval_rss_mib
09:30:03	86151	20028	7021	943	98
09:30:05	82894	20028	7026	944	101
09:30:07	82019	20028	7026	944	101
09:30:09	81785	20028	7072	947	101
09:30:11	81571	20028	7103	947	101
09:30:13	81186	20028	7202	947	101
09:30:15	80701	20028	7491	947	101
09:30:17	80506	20028	7216	947	101
09:30:19	80334	20028	7216	947	101
09:30:21	80176	20028	7218	947	101
09:30:23	80001	20028	7218	947	101
09:30:25	79832	20028	7218	947	101
09:30:27	79496	20028	7218	947	101
09:30:29	79332	20028	7218	947	101
09:30:31	79146	20028	7218	947	101
09:30:33	78974	20028	7218	947	101
09:30:35	78809	20028	7218	947	101
09:30:37	78667	20028	7218	947	101
09:30:39	78495	20028	7218	947	101
09:30:42	81138	20028	7218	947	101
09:30:44	80999	20028	7218	947	101
09:30:46	80666	20028	7218	947	101
09:30:48	80472	20146	7325	951	101
09:30:50	80320	20317	7240	963	101
09:30:52	80049	20317	7436	965	101
09:30:54	79670	20317	7568	965	101
09:30:56	79069	20317	7590	966	101
09:30:58	78937	20317	7592	966	101
09:31:00	78880	20317	7592	966	101
09:31:02	78689	20317	7672	10366	101
09:31:04	79073	20317	7672	22422	101
09:31:06	55339	44035	7671	25684	101
09:31:08	55004	44035	7671	25684	101
09:31:10	46837	51669	7722	1953	101
09:31:12	40557	50879	15203	1953	101
09:31:14	38149	50915	17355	1953	101
09:31:16	37912	51428	17363	1833	101
09:31:18	37859	51428	17363	1833	101
09:31:20	37802	51428	17363	1833	101
09:31:22	37742	51428	17363	1833	101
09:31:24	37692	51428	17363	1833	101
09:31:26	37632	51428	17369	1833	101
09:31:28	37574	51428	17369	1833	101
09:31:30	37517	51428	17369	1833	101
09:31:32	37448	51428	17369	1833	101
09:31:34	37391	51428	17369	1833	101
09:31:36	37342	51428	17369	1833	101
09:31:40	37288	51428	17369	1833	101
09:31:42	37193	51428	17369	1833	101
09:31:44	37103	51428	17375	1833	101
09:31:46	37047	51428	17375	1833	101
09:31:48	37005	51428	17375	1833	101
09:31:50	36963	51428	17375	1833	101
09:31:52	36906	51428	17375	1833	101
09:31:54	36852	51428	17375	1833	101
09:31:56	36780	51467	17375	1833	101
09:31:58	36717	51467	17375	1833	101
09:32:01	36682	51467	17375	1833	101
09:32:03	36526	51465	17375	1833	101
09:32:05	36471	51461	17375	1833	101
09:32:07	36410	51461	17375	1833	101
09:32:09	36298	51461	17375	1833	101
09:32:11	36231	51461	17375	1833	101
09:32:13	36175	51461	17375	1833	101
09:32:16	35489	51462	17860	1314	101
09:32:18	35464	51462	17860	1314	101
09:32:20	35456	51462	17860	1314	101
09:32:22	35440	51462	17860	1314	101
09:32:24	35414	51462	17860	1314	101
09:32:26	35405	51462	17860	1314	101
09:32:28	35398	51462	17860	1314	101
09:32:30	35390	51462	17860	1314	101
09:32:32	35389	51462	17860	1314	101
09:32:34	35368	51462	17860	1314	101
09:32:36	35335	51462	17860	1314	101
09:32:38	35307	51462	17860	1314	101
09:32:40	35273	51462	17860	1314	101
09:32:42	35292	51462	17860	1314	101
09:32:44	35296	51462	17860	1314	101
09:32:46	35272	51462	17860	1314	101
09:32:49	35240	51462	17860	1314	101
09:32:51	35215	51462	17860	1314	101
09:32:53	35050	51597	17861	1314	101
09:32:55	34995	51597	17861	1314	101
09:32:57	34582	51530	17861	1314	101
09:32:59	34467	51530	17861	1314	101
09:33:01	34468	51532	17861	1314	101
09:33:03	34500	51528	17861	1314	101
09:33:05	34493	51528	17861	1314	101
09:33:07	34509	51528	17861	1314	101
09:33:09	34523	51528	17861	1314	101
09:33:11	48394	51528	18077	1314	101
09:33:13	48029	51528	18457	1314	101
09:33:15	47945	51528	18539	1314	101
09:33:17	47908	51528	18587	1314	101
09:33:19	47892	51528	18608	1314	101
09:33:22	47877	51528	18636	1314	101
09:33:24	47844	51528	18676	1314	101
09:33:26	47810	51528	18718	1314	101
09:33:28	47766	51528	18760	1314	101
09:33:30	47738	51528	18787	1314	101
09:33:32	47712	51528	18818	1314	101
09:33:34	47683	51528	18845	1314	101
09:33:36	47634	51528	18895	1314	101
09:33:38	47603	51528	18926	1314	101
09:33:40	47565	51528	18967	1314	101
09:33:42	47517	51528	19012	1314	101
09:33:44	47486	51528	19043	1314	101
09:33:46	47464	51528	19069	1314	101
09:33:48	47430	51528	19105	1314	101
09:33:50	47390	51528	19140	1314	101
09:33:52	47358	51528	19174	1314	101
09:33:54	47320	51528	19206	1314	101
09:33:57	47302	51528	19227	1314	101
09:33:59	47417	51528	19059	1314	101
09:34:01	47433	51528	19059	1314	101
09:34:03	47452	51528	19059	1314	101
09:34:05	47474	51528	19059	1314	101
09:34:07	47497	51528	19059	1314	101
09:34:09	47510	51528	19059	1314	101
09:34:11	47523	51528	19059	1314	101
09:34:13	47546	51528	19059	1314	101
09:34:15	47562	51528	19059	1314	101
09:34:17	47919	51528	18722	1314	101
09:34:19	47944	51528	18722	1314	101
09:34:21	47980	51528	18722	1314	101
09:34:23	47971	51528	18722	1314	101
09:34:25	47966	51528	18722	1314	101
09:34:27	47969	51528	18722	1314	101
09:34:29	47845	51528	18847	1314	101
09:34:31	47839	51528	18847	1314	101
09:34:34	47853	51528	18847	1314	101
09:34:36	47849	51528	18847	1314	101
09:34:38	47910	51528	18779	1314	101
09:34:40	48111	51528	18573	1314	101
09:34:42	48116	51528	18573	1314	101
09:34:44	48122	51528	18573	1314	101
09:34:46	48123	51528	18573	1314	101
09:34:48	47942	51528	18762	1314	101
09:34:50	47854	51528	18849	1314	101
09:34:52	47846	51528	18856	1314	101
09:34:54	47821	51528	18880	1314	101
09:34:56	47804	51528	18891	1314	101
09:34:58	47794	51528	18906	1314	101
09:35:00	47771	51528	18920	1314	101
09:35:02	47762	51528	18934	1314	101
09:35:04	47748	51528	18951	1314	101
09:35:06	47330	51529	18964	1314	101
09:35:08	47300	51529	18988	1314	101
09:35:10	47286	51529	19001	1314	101
09:35:12	47263	51529	19028	1314	101
09:35:14	47246	51529	19051	1314	101
09:35:16	47229	51529	19061	1314	101
09:35:18	47584	51529	18671	1314	101
09:35:20	47592	51529	18671	1314	101
09:35:23	47600	51529	18671	1314	101
09:35:25	47607	51529	18671	1314	101
09:35:27	47612	51529	18671	1314	101
09:35:29	47615	51529	18671	1314	101
09:35:31	47619	51529	18671	1314	101
09:35:33	47625	51529	18671	1314	101
