ts	gtt_mib	avail_mib
00:34:10	4060	119187
00:34:12	40924	82518
00:34:14	75968	47711
00:34:16	82761	36112
00:34:18	82761	29608
00:34:20	82761	23465
00:34:22	82761	17089
00:34:24	82766	12824
00:34:26	82766	12841
00:34:28	82766	12835
00:34:30	82766	12845
00:34:32	82766	12857
00:34:34	82766	12843
00:34:36	82766	12816
00:34:38	82766	12796
00:34:40	83318	11801
00:34:42	83344	12242
00:34:44	83357	12280
00:34:46	83382	12265
00:34:48	83395	12262
00:34:50	83407	12214
00:34:52	83420	12221
00:34:54	83420	12208
00:34:56	83420	12203
00:34:58	83420	12202
00:35:00	83420	12200
00:35:02	83420	12198
00:35:04	83420	12197
00:35:06	83420	12198
00:35:08	83420	12198
00:35:10	83420	12195
00:35:12	83420	12195
00:35:14	83420	12194
00:35:16	83420	12194
00:35:18	83420	12194
00:35:20	83420	12195
00:35:22	83420	12191
00:35:24	83420	12192
00:35:26	83420	12184
00:35:28	83420	12184
00:35:30	83420	12184
00:35:32	82910	12734
00:35:34	82910	12724
00:35:36	82910	12724
00:35:38	82910	12733
00:35:40	82910	12730
00:35:42	82910	12718
00:35:44	82910	12710
00:35:46	82910	12707
00:35:48	82910	12703
00:35:50	83861	11801
00:35:52	83912	11762
00:35:54	83912	11751
00:35:56	83962	11690
00:35:58	84012	11642
00:36:00	84012	11639
00:36:02	84012	11634
00:36:04	84012	11631
00:36:06	84012	11627
00:36:08	84012	11626
00:36:10	84012	11622
00:36:12	84012	11622
00:36:14	84012	11621
00:36:16	84012	11620
00:36:18	84012	11620
00:36:20	84012	11620
00:36:22	84012	11617
00:36:24	84012	11616
00:36:26	84012	11610
00:36:28	84012	11609
00:36:30	84012	11609
00:36:33	84012	11609
00:36:35	84012	11610
00:36:37	82905	12717
00:36:39	82905	12718
00:36:41	82905	12716
00:36:43	82905	12653
00:36:45	82905	12654
00:36:47	82905	12670
00:36:49	82905	12670
00:36:51	82905	12671
00:36:53	82905	12673
00:36:55	83915	11730
00:36:57	83915	11725
00:36:59	83915	11724
00:37:01	84131	11518
00:37:03	84131	11514
00:37:05	84131	11509
00:37:07	84131	11506
00:37:09	84131	11505
00:37:11	84131	11500
00:37:13	84131	11498
00:37:15	84131	11497
00:37:17	84131	11494
00:37:19	84131	11492
00:37:21	84131	11490
00:37:23	84131	11488
00:37:25	84131	11485
00:37:27	84131	11484
00:37:29	84131	11483
00:37:31	84131	11482
00:37:33	84131	11482
00:37:35	84131	11483
00:37:37	84131	11483
00:37:39	82905	12713
00:37:41	82905	12711
00:37:43	82905	12706
00:37:45	82905	12704
00:37:47	82905	12704
00:37:49	82905	12705
00:37:51	82905	12704
00:37:53	82905	12704
00:37:55	82905	12704
00:37:57	83912	11797
00:37:59	85503	10069
00:38:01	85503	10278
00:38:03	85503	10277
00:38:05	85503	10274
00:38:07	85503	10273
00:38:09	85503	10270
00:38:11	85503	10265
00:38:13	85503	10263
00:38:15	85503	10263
00:38:17	85503	10262
00:38:19	85503	10260
00:38:21	85503	10260
00:38:23	85503	10260
00:38:25	85503	10259
00:38:27	85503	10256
00:38:29	85503	10256
00:38:31	85503	10253
00:38:33	85503	10253
00:38:35	85503	10252
00:38:37	85503	10252
00:38:39	85503	10252
00:38:41	85503	10247
00:38:43	85503	10240
00:38:45	85503	10237
00:38:47	85503	10237
00:38:49	85503	10237
00:38:51	85503	10237
00:38:53	85503	10237
00:38:55	85503	10236
00:38:57	82910	12837
00:38:59	82910	12837
00:39:01	82910	12838
00:39:03	82910	12837
00:39:05	82910	12836
00:39:07	82910	12835
00:39:09	82910	12836
00:39:11	82910	12836
00:39:13	82762	20591
