0.00.103.631 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.104.317 I srv          init: The UI is disabled
0.00.104.318 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.105.061 W srv  llama_server: -----------------
0.00.105.063 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.105.063 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.105.063 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.105.063 W srv  llama_server: -----------------
0.00.106.605 I srv    load_model: loading model '/Users/alexsbryan/.sovereign/models/bakeoff/sweep-v2-7b/sweep-next-edit-v2-7b-q6_k.gguf'
0.00.385.619 W load: control-looking token: 128247 '</s>' was not control-type; this is probably a bug in the model. its type will be overridden
0.01.811.402 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 8192, kv_unified = 'true'
0.01.816.229 I srv  llama_server: model loaded
0.01.816.233 I srv  llama_server: listening on http://127.0.0.1:8089
0.03.998.344 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.03.998.358 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.04.845.712 I slot print_timing: id  3 | task 0 | prompt eval time =     309.80 ms /   110 tokens (    2.82 ms per token,   355.06 tokens per second)
0.04.845.716 I slot print_timing: id  3 | task 0 |        eval time =     537.51 ms /    29 tokens (   18.53 ms per token,    53.95 tokens per second)
0.04.845.717 I slot print_timing: id  3 | task 0 |       total time =     847.31 ms /   139 tokens
0.04.845.718 I slot print_timing: id  3 | task 0 |    graphs reused =         28
0.04.845.754 I slot      release: id  3 | task 0 | stop processing: n_tokens = 138, truncated = 0
0.04.854.706 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = -1
0.04.854.726 I slot launch_slot_: id  2 | task 30 | processing task, is_child = 0
0.06.924.567 I slot print_timing: id  2 | task 30 | prompt eval time =     399.37 ms /   253 tokens (    1.58 ms per token,   633.50 tokens per second)
0.06.924.570 I slot print_timing: id  2 | task 30 |        eval time =    1669.55 ms /    89 tokens (   18.76 ms per token,    53.31 tokens per second)
0.06.924.571 I slot print_timing: id  2 | task 30 |       total time =    2068.91 ms /   342 tokens
0.06.924.571 I slot print_timing: id  2 | task 30 |    graphs reused =        114
0.06.924.597 I slot      release: id  2 | task 30 | stop processing: n_tokens = 341, truncated = 0
0.06.927.182 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = -1
0.06.927.198 I slot launch_slot_: id  1 | task 120 | processing task, is_child = 0
0.08.677.986 I slot print_timing: id  1 | task 120 | prompt eval time =     346.57 ms /   215 tokens (    1.61 ms per token,   620.36 tokens per second)
0.08.677.990 I slot print_timing: id  1 | task 120 |        eval time =    1402.33 ms /    75 tokens (   18.70 ms per token,    53.48 tokens per second)
0.08.677.991 I slot print_timing: id  1 | task 120 |       total time =    1748.90 ms /   290 tokens
0.08.677.991 I slot print_timing: id  1 | task 120 |    graphs reused =        186
0.08.678.033 I slot      release: id  1 | task 120 | stop processing: n_tokens = 289, truncated = 0
0.08.680.262 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.08.680.280 I slot launch_slot_: id  0 | task 196 | processing task, is_child = 0
0.10.374.777 I slot print_timing: id  0 | task 196 | prompt eval time =     346.17 ms /   196 tokens (    1.77 ms per token,   566.19 tokens per second)
