verdict         winner         sim  margin  runner-up      sim  row         id
classified      tension      0.362  +0.119  trajectory   0.244  tension     argument_consequence_against_compatibilism
abstain:sim     tension      0.307  +0.081  thematic     0.226  -           concept_modality_necessary_aposteriori
classified      tension      0.399  +0.087  trajectory   0.313  tension     comparative_locke_reid_personal_identity
abstain:sim     tension      0.297  +0.074  thematic     0.223  -           dialectical_gettier_lottery
classified      tension      0.378  +0.109  lookup       0.269  tension     argument_internalism_externalism_justification
abstain:sim     tension      0.312  +0.059  thematic     0.253  -           concept_qualia_physicalism
abstain:sim     tension      0.333  +0.082  thematic     0.250  -           position_summary_hard_problem_illusionism
abstain:margin  tension      0.395  +0.012  thematic     0.383  -           dialectical_content_narrow_wide_burge
classified      tension      0.424  +0.114  trajectory   0.310  tension     contested_trolley_doctrine_double_effect
abstain:both    tension      0.290  +0.033  thematic     0.257  -           position_summary_virtue_ethics_function
abstain:both    trajectory   0.312  +0.012  tension      0.300  -           position_summary_kripke_reference_causal_historical
abstain:margin  tension      0.374  +0.036  thematic     0.338  -           dialectical_putnam_twin_earth_meaning
abstain:both    tension      0.314  +0.040  thematic     0.274  -           argument_godel_incompleteness
classified      tension      0.401  +0.145  trajectory   0.256  tension     argument_rawls_original_position
abstain:sim     tension      0.288  +0.082  trajectory   0.206  -           comparative_berlin_liberty
classified      tension      0.357  +0.123  thematic     0.233  tension     contested_no_miracles_scientific_realism
abstain:sim     tension      0.327  +0.080  trajectory   0.247  -           comparative_kant_hume_causation
abstain:both    thematic     0.253  +0.008  tension      0.245  -           argument_aristotle_hylomorphism
abstain:both    trajectory   0.211  +0.011  tension      0.200  -           position_summary_husserl_heidegger
abstain:both    tension      0.298  +0.007  thematic     0.291  -           comparative_mencius_xunzi_human_nature
abstain:sim     tension      0.318  +0.075  thematic     0.243  -           contested_bioethics_principlism
