verdict         winner         sim  margin  runner-up      sim  row         id
classified      tension      0.482  +0.110  enumeration  0.372  tension     argument_consequence_against_compatibilism
abstain:margin  thematic     0.366  +0.011  tension      0.355  -           concept_modality_necessary_aposteriori
classified      tension      0.500  +0.057  trajectory   0.444  tension     comparative_locke_reid_personal_identity
classified      tension      0.390  +0.081  thematic     0.309  tension     dialectical_gettier_lottery
classified      tension      0.487  +0.123  trajectory   0.364  tension     argument_internalism_externalism_justification
abstain:margin  tension      0.410  +0.031  thematic     0.379  -           concept_qualia_physicalism
classified      tension      0.409  +0.103  trajectory   0.306  tension     position_summary_hard_problem_illusionism
abstain:margin  tension      0.447  +0.031  thematic     0.416  -           dialectical_content_narrow_wide_burge
abstain:margin  tension      0.460  +0.050  thematic     0.410  -           contested_trolley_doctrine_double_effect
abstain:margin  tension      0.409  +0.018  enumeration  0.391  -           position_summary_virtue_ethics_function
abstain:margin  trajectory   0.378  +0.020  thematic     0.358  -           position_summary_kripke_reference_causal_historical
abstain:margin  tension      0.440  +0.027  thematic     0.413  -           dialectical_putnam_twin_earth_meaning
abstain:margin  tension      0.399  +0.016  enumeration  0.384  -           argument_godel_incompleteness
classified      tension      0.545  +0.080  trajectory   0.465  tension     argument_rawls_original_position
classified      trajectory   0.363  +0.057  tension      0.305  trajectory  comparative_berlin_liberty
classified      tension      0.451  +0.064  enumeration  0.387  tension     contested_no_miracles_scientific_realism
classified      tension      0.446  +0.091  trajectory   0.355  tension     comparative_kant_hume_causation
abstain:margin  tension      0.378  +0.018  thematic     0.360  -           argument_aristotle_hylomorphism
abstain:both    trajectory   0.304  +0.026  tension      0.279  -           position_summary_husserl_heidegger
abstain:margin  thematic     0.367  +0.004  tension      0.363  -           comparative_mencius_xunzi_human_nature
classified      tension      0.403  +0.091  enumeration  0.312  tension     contested_bioethics_principlism
